"Date","Operator","Aircraft","Location","Fatalities","Registration"
1996-11-12,"","Boeing 747-100","Charkhi Dadri, Haryana",312,"HZ-AIH"
2014-07-17,"","Boeing 777-200","Hrabove, Donetsk Oblast",298,"9M-MRD"
1996-01-08,"African Air","Antonov AN-32","Kinshasa-Ndolo, Kinshasa City Province",298,"RA-26222"
2003-02-19,"Islamic Revolutionary Guard Corps","Ilyushin II-76","Kerman, Kermanshah",275,"15-2280"
2001-11-12,"","Airbus A300-600","Belle Harbor, New York",265,"N14053"
2018-04-11,"","Ilyushin II-76","Boufarik AFB, Blida",257,"7T-WIV"
2014-03-08,"","Boeing 777-200","Indian Ocean, World",239,"9M-MRO"
1997-09-26,"","Airbus A300-600","Medan-Polonia, North Sumatra",234,"PK-GAI"
1996-07-17,"","Boeing 747-100","East Moriches, New York",230,"N93119"
1998-09-02,"","McDonnell Douglas MD-11","Peggy's Cove, Nova Scotia",229,"HB-IWF"
2009-06-01,"","Airbus A330","Fernando de Noronha, Pernambuco",228,"F-GZCP"
1997-08-06,"","Boeing 747-300","Agana-Antonio Borja Won Pat, All Guam Island",228,"HL7468"
2002-05-25,"","Boeing 747-200","Magong, Penghu County (澎湖縣)",225,"B-18255"
2015-10-31,"","Airbus A321","Hasna, North Sinai",224,"EI-ETJ"
1999-10-31,"","Boeing 767-300","Atlantic Ocean, World",217,"SU-GAP"
1998-02-16,"","Airbus A300-600","Taipei-Taoyuan (ex Chiang Kai-shek), Taipei City (臺北市)",203,"B-1814"
2007-07-17,"","Airbus A320","São Paulo-Congonhas, São Paulo",199,"PR-MBK"
1996-02-06,"","Boeing 757-200","Puerto Plata, Puerto Plata",189,"TC-GEN"
2018-10-29,"","Boeing 737 MAX 8","Jakarta, City District of Jakarta",189,"PK-LQP"
2024-12-29,"","Boeing 737-800","Muan, South Jeolla (전라남도)",179,"HL8088"
2020-01-08,"","Boeing 737-800","Sabashahr, Tehran City District",176,"UR-PSR"
2006-08-22,"","Tupolev TU-154","Novgorodskoye, Donetsk Oblast",170,"RA-85185"
2000-01-30,"","Airbus A310","Abidjan, Lagunes",169,"5Y-BEN"
2009-07-15,"","Tupolev TU-154","Qazvin, Qazvin",168,"EP-CPG"
2014-12-28,"","Airbus A320","Java Sea, All Indonesia",162,"PK-AXC"
2005-08-16,"","McDonnell Douglas MD-82","Machiques, Zulia",160,"HK-4374X"
2012-06-03,"","McDonnell Douglas MD-83","Lagos-Murtala Muhammed, Lagos",159,"5N-RAM"
1995-12-20,"","Boeing 757-200","Buga, Valle del Cauca",159,"N651AA"
2010-05-22,"","Boeing 737-800","Mangalore-Bajpe, Karnataka",158,"VT-AXV"
2019-03-10,"","Boeing 737 MAX 8","Debre Zeit (Bishoftu), Oromia",157,"ET-AVJ"
2008-08-20,"","McDonnell Douglas MD-82","Madrid-Barajas-Adolfo Suárez, Madrid",154,"EC-HFP"
2006-09-29,"","Boeing 737-800","Peixoto de Azevedo, Mato Grosso",154,"PR-GTD"
2009-06-30,"","Airbus A310","Moroni-Prince Saïd Ibrahim (ex Hahaya), All Comoros Islands",152,"7O-ADJ"
2010-07-28,"","Airbus A321","Islamabad, Islamabad Capital Territory (وفاقی دارالحکومت)",152,"AP-BJB"
2015-03-24,"","Airbus A320","Prads-Haute-Bléone, Alpes-de-Haute-Provence",150,"D-AIPX"
2005-09-05,"","Boeing 737-200","Medan-Polonia, North Sumatra",149,"PK-RIM"
2004-01-03,"","Boeing 737-300","Sharm el-Sheikh, South Sinai",148,"SU-ZCF"
2001-07-04,"","Tupolev TU-154","Burdakovka, Irkutsk oblast",145,"RA-85845"
1996-11-07,"","Boeing 727-200","Ejirin, Lagos",144,"5N-BBG"
2000-08-23,"","Airbus A320","Bahrain, All Bahrain",143,"A4O-EK"
2003-12-25,"","Boeing 727-200","Cotonou-Cardinal Bernardin Gantin (ex Cadjehoun), Littoral",141,"3X-GDO"
1996-08-29,"","Tupolev TU-154","Longyearbyen, Svalbard",141,"RA-85621"
1995-12-18,"Trans Service Airlift - TSA","Lockheed L-188 Electra","Jamba, Cuando Cubango",141,"9Q-CRR"
2015-06-30,"","Lockheed C-130 Hercules","Medan-Soewondo AFB, North Sumatra",139,"A-1310"
2022-03-21,"","Boeing 737-800","Wuzhou, Guangxi",132,"B-1791"
2000-04-19,"","Boeing 737-200","Davao City, Davao del Sur",131,"RP-C3010"
2002-04-15,"","Boeing 767-200","Busan-Gimhae, Busan (부산)",129,"B-2552"
